Name,Argument type,Result type,Function
ABS,x: numeric type,type of x,absolute value
ASR,"x, n: INTEGER",INTEGER,"signed shift right, <code>x DIV 2</code>"
CHR,x: INTEGER,CHAR,character with ordinal number <code>x</code>
FLOOR,x: REAL,INTEGER,round down
FLT,x: INTEGER,REAL,identity
LEN,v: array,INTEGER,the length of <code>v</code>
LSL,"x, n: INTEGER",INTEGER,"logical shift left, <code>x * 2^n</code>"
ODD,x: INTEGER,BOOLEAN,<code>x MOD 2 = 1</code>
ORD,"x: CHAR, BOOLEAN, SET",INTEGER,ordinal number of <code>x</code>
ROR,"x, n: INTEGER",INTEGER,<code>x</code> rotated right by <code>n</code> bits
